|Player|venue|final_score_bat|final_score_ball|player_score
255|AF Milne|Saurashtra Cricket Association Stadium|0.0|6.375|6.375
256|AF Milne|Wankhede Stadium|-0.15074999999999997|4.5|4.34925
257|AG Murtaza|Brabourne Stadium|0.0|7.96875|7.96875
258|AG Murtaza|Eden Gardens|0.0|4.21875|4.21875
259|AG Murtaza|Feroz Shah Kotla|0.0|9.84375|9.84375
260|AG Murtaza|JSCA International Stadium Complex|0.0|4.21875|4.21875
261|AG Murtaza|M Chinnaswamy Stadium|0.5257499999999999|4.21875|4.7445
262|AG Murtaza|Sawai Mansingh Stadium|0.30074999999999996|4.21875|4.5195
263|AG Murtaza|Subrata Roy Sahara Stadium|0.37575|7.03125|7.407
264|AG Murtaza|Wankhede Stadium|0.0|6.09375|6.09375
265|AJ Finch|Eden Gardens|8.975999999999999|1.125|10.100999999999999
266|AJ Finch|Feroz Shah Kotla|25.619749999999996|1.125|26.744749999999996
267|AJ Finch|M Chinnaswamy Stadium|9.348749999999999|1.125|10.473749999999999
268|AJ Finch|MA Chidambaram Stadium, Chepauk|12.261|1.125|13.386
269|AJ Finch|Wankhede Stadium|34.044999999999995|3.0|37.044999999999995
270|AJ Tye|Eden Gardens|0.0|27.0585|27.0585
271|AJ Tye|Feroz Shah Kotla|4.856249999999999|29.246|34.10225
272|AJ Tye|Holkar Cricket Stadium|5.5562499999999995|29.246|34.80225
273|AJ Tye|M Chinnaswamy Stadium|0.0|14.408999999999999|14.408999999999999
274|AJ Tye|M.Chinnaswamy Stadium|5.5562499999999995|29.246|34.80225
275|AJ Tye|MA Chidambaram Stadium, Chepauk|0.0|20.496|20.496
276|AJ Tye|Maharashtra Cricket Association Stadium|4.33125|20.496|24.82725
277|AJ Tye|Punjab Cricket Association IS Bindra Stadium, Mohali|4.59375|24.871|29.46475
278|AJ Tye|Rajiv Gandhi International Stadium, Uppal|5.03125|20.496|25.52725
279|AJ Tye|Saurashtra Cricket Association Stadium|3.1815|12.06525|15.24675
280|AJ Tye|Sawai Mansingh Stadium|4.50625|42.370999999999995|46.87725
